squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,Popular,houseAge,numNonGuestRooms,grossLivingArea
85443,40,1,1,54,339,3,1,1,0,3056,8928,292,1,2,8555234.1,1,5,38,73167
97550,89,1,1,98,78155,2,5,1,0,5391,897,388,0,0,9765099.4,1,12,89,90874
76485,47,1,0,9,90254,2,9,1,0,2860,3129,982,0,1,7653300.8,0,18,46,69514
26169,29,0,0,62,66489,9,7,0,1,7918,187,919,1,9,2622399.3,0,33,20,17145
24239,87,1,0,91,73056,4,7,0,0,6656,7149,698,0,3,2427801.8,0,28,84,9736
36239,8,0,1,24,66771,7,6,0,1,6679,6528,798,1,5,3627708.0,0,36,3,22234
10500,88,0,1,49,10533,10,1,1,1,4170,5501,422,0,5,1057021.3,1,13,83,407
87060,27,0,1,91,51803,8,10,0,0,6629,435,512,0,7,8711426.0,0,26,20,79484
66683,19,1,1,6,50801,6,2,0,0,7473,796,237,1,3,6677649.1,0,25,16,58177
66569,59,1,1,56,15574,7,9,1,1,2020,7188,269,1,10,6667802.6,1,10,49,57092
84559,29,0,1,69,53057,7,7,1,0,3573,9556,918,1,8,8460604.0,1,26,21,70512
28749,39,0,1,53,80821,6,5,1,0,8113,2352,982,1,3,2877997.6,1,30,36,17302
76091,38,1,0,32,59451,5,8,1,0,8150,6037,930,0,7,7614076.6,0,10,31,60974
92696,49,1,0,38,74381,9,2,0,0,1559,5111,957,1,2,9272740.1,0,5,47,85069
46988,66,1,1,27,4863,9,10,1,1,8339,6331,874,1,4,4707341.1,1,35,62,31444
48062,22,0,1,4,28104,1,10,1,0,7908,552,817,1,1,4809993.8,1,18,21,38785
59800,47,0,1,27,44815,6,9,0,0,5075,3104,864,0,4,5984462.1,0,5,43,50757
54836,25,0,1,53,64601,10,5,1,0,5278,1059,313,1,6,5492532.0,1,6,19,48186
54318,10,1,1,52,76737,4,2,1,1,9580,3787,227,1,1,5444967.8,1,28,9,40724
70021,52,1,0,28,95678,4,6,0,1,4480,6919,680,1,1,7005572.2,0,34,51,57942
54368,11,1,1,20,55761,3,7,0,0,231,1939,223,0,8,5446398.1,0,5,3,51975
31421,29,0,1,68,67505,5,3,1,1,8949,2080,630,0,5,3147829.9,1,27,24,19762
63053,6,1,1,28,45312,3,1,0,1,8414,6270,939,1,8,6315375.7,0,29,-2,47430
4187,89,0,1,17,7488,1,6,1,0,186,2627,559,1,2,421906.4,1,32,87,815
33108,82,0,1,83,52015,6,10,1,0,6250,8751,552,1,2,3316069.6,1,10,80,17555
64393,8,0,0,51,95335,4,1,1,0,3835,2403,559,0,6,6441378.0,0,36,2,57596
93876,60,0,1,70,5484,2,1,1,1,4086,5991,494,1,8,9390891.9,1,27,52,83305
67040,60,1,1,22,1690,4,8,1,0,4817,5222,927,0,0,6714247.3,1,33,60,56074
47938,17,0,0,68,64247,7,1,0,1,327,209,352,1,8,4797883.3,0,13,9,47050
39090,57,1,0,74,2922,4,9,0,0,3572,8722,811,1,6,3917691.0,0,16,51,25985
43609,66,0,0,55,6739,4,9,0,1,3388,2353,120,1,7,4364910.5,0,21,59,37748
41998,74,1,0,17,32039,6,1,1,0,6838,4925,828,0,9,4203344.0,0,36,65,29407
36496,9,0,1,47,51526,5,1,0,1,2768,6291,230,1,0,3656368.7,0,9,9,27207
84016,15,1,0,55,63595,1,7,1,0,3284,9879,641,0,2,8410054.6,0,10,13,70212
89768,48,1,1,17,71000,6,9,0,1,2485,108,864,0,7,8980518.3,0,33,41,86311
30226,74,1,1,87,71053,10,9,0,0,515,13,223,0,4,3039243.7,0,19,70,29475
58478,5,0,1,35,5898,6,10,0,0,8366,4799,979,1,7,5853710.6,0,10,-2,44334
66621,48,0,0,89,52165,10,1,1,1,5024,8103,388,1,4,6666403.5,0,31,44,53106
73314,43,0,1,38,49895,10,1,0,1,3281,5020,968,0,8,7336538.8,0,8,35,64045
59972,28,0,1,18,32083,9,8,1,1,8384,7226,226,1,4,6000826.1,1,5,24,44136
71591,20,1,0,58,46834,7,4,0,0,6486,3310,366,0,0,7165980.8,0,28,20,61429
92462,52,1,1,46,22405,9,6,1,0,9584,8587,677,0,8,9257840.9,1,7,44,73614
52325,60,1,1,24,76804,6,5,1,0,8987,3149,808,1,4,5238533.2,1,34,56,39381
67311,67,0,0,10,45626,3,3,1,1,6928,7808,774,1,5,6732249.0,0,36,62,51801
45050,99,0,1,87,20318,4,8,1,0,5218,8217,144,0,3,4508695.3,1,13,96,31471
61534,73,1,0,97,22943,9,5,0,0,9265,8974,755,1,6,6159875.1,0,25,67,42540
84091,50,0,1,72,22718,7,5,0,0,2668,4669,766,0,8,8414104.3,0,33,42,75988
77579,69,1,1,97,88798,6,1,1,0,4850,5648,144,1,8,7767797.9,1,27,61,66937
25204,31,1,1,37,87552,4,10,1,0,6560,4287,116,0,6,2530488.0,1,6,25,14241
42059,46,0,1,62,43289,6,3,1,1,8827,1853,860,1,3,4212125.7,1,9,43,30519
38430,43,0,1,51,3406,6,4,0,1,1214,606,289,0,8,3846214.1,0,5,35,36321
34780,75,0,1,9,67297,4,5,0,1,3033,6475,800,1,4,3480536.9,0,7,71,24472
33749,74,0,1,38,73976,10,7,1,1,1729,7952,616,1,2,3380855.9,1,27,72,23452
34919,20,1,1,84,60113,5,1,0,0,6566,628,408,0,2,3499532.7,0,29,18,27317
25614,29,0,0,27,52970,4,1,1,0,700,377,519,1,9,2563970.4,0,32,20,24018
51434,64,0,0,23,79754,10,2,1,1,2080,9575,753,0,7,5146226.2,0,14,57,39026
78960,55,0,1,76,23408,8,4,1,1,7126,5012,974,1,0,7900996.5,1,11,55,65848
70751,64,1,1,41,92268,1,9,1,0,1506,590,794,1,7,7084110.6,1,20,57,67861
81870,60,0,1,100,58048,3,8,0,0,3632,5960,723,1,3,8198185.0,0,6,57,71555
91559,36,0,1,21,82521,6,2,0,1,788,4788,132,1,8,9161130.7,0,19,28,85851
72098,9,0,1,67,91168,2,3,1,0,9080,9356,740,1,9,7216904.4,1,12,0,52922
23177,19,0,0,52,69373,4,1,0,0,2706,4593,648,1,6,2318776.3,0,23,13,15230
39517,92,0,0,85,51212,4,6,0,1,7618,1172,810,1,9,3953491.9,0,7,83,29917
55232,23,0,0,8,849,8,3,0,0,1492,5697,625,0,6,5524015.1,0,35,17,47418
53735,49,0,1,92,2423,4,7,0,0,8654,9588,290,1,8,5384554.6,0,20,41,35203
67753,72,1,1,78,31721,3,9,1,1,7480,2068,929,0,6,6789580.5,1,31,66,57276
82141,93,1,1,61,74213,3,7,1,1,8785,6602,968,1,4,8225970.9,1,7,89,65786
17868,73,1,0,35,48674,4,9,0,0,1718,5498,710,1,2,1792308.3,0,13,71,9942
71397,71,0,0,93,68199,3,10,1,1,3477,5530,342,0,2,7145471.5,0,31,69,62048
32623,35,0,1,14,80204,10,6,1,0,4633,7551,126,0,8,3267852.3,1,23,27,20313
23841,71,1,1,25,32106,3,7,1,1,7590,5224,564,1,1,2390804.0,1,16,70,10463
16495,94,0,0,6,90448,3,10,1,1,2214,1464,929,1,7,1650711.1,0,35,87,11888
39109,24,1,0,67,74477,4,3,1,0,1642,2925,139,0,9,3917652.2,0,24,15,34403
65151,81,1,1,3,66191,7,9,0,0,3218,9119,849,0,4,6522781.1,0,35,77,51965
61484,91,1,0,94,87015,8,8,1,0,5486,3641,766,0,3,6154833.3,0,13,88,51591
57160,15,1,1,43,40786,8,8,0,0,4018,4871,836,1,2,5724102.2,0,24,13,47435
13346,57,0,0,57,30010,6,8,1,1,2525,545,809,0,8,1336414.1,0,5,49,9467
27351,77,0,0,36,98465,4,1,1,1,1150,3100,812,1,0,2738851.7,0,29,77,22289
18466,50,0,1,60,89670,5,2,0,0,2475,1376,568,0,5,1849227.0,0,6,45,14047
45441,29,1,0,66,21239,3,5,0,1,8121,2996,853,0,6,4552319.4,0,22,23,33471
55933,15,0,0,97,5800,9,8,1,1,7369,6739,686,1,6,5599976.1,0,25,9,41139
81936,68,0,0,92,6143,3,1,1,0,6393,9082,734,0,0,8198107.1,0,15,68,65727
18237,70,1,0,74,25093,9,6,0,0,7173,9144,498,1,9,1833338.1,0,15,61,1422
35631,54,1,0,7,77355,10,6,1,1,216,1339,775,1,10,3568002.8,0,8,44,33301
99683,12,1,0,77,18300,5,8,0,1,4034,2877,787,1,6,9977000.2,0,24,6,91985
47664,44,0,0,77,98008,6,3,1,1,2662,5433,417,0,6,4770073.0,0,16,38,39152
62887,45,0,1,7,91125,4,3,1,0,292,744,675,0,4,6293710.3,1,33,41,61176
18470,20,1,1,73,9406,3,1,1,0,4089,9245,905,1,6,1852115.0,1,26,14,4231
36031,63,1,0,47,74698,9,8,0,1,9701,1325,514,0,4,3612495.1,0,25,59,24491
22776,84,0,0,5,82401,9,9,0,1,2422,1918,544,1,7,2278599.3,0,33,77,17892
14830,81,1,0,1,17641,1,10,1,0,6151,1651,243,0,9,1487488.2,0,34,72,6785
43944,40,1,0,69,5581,10,5,0,1,7466,6556,735,1,6,4403326.2,0,14,34,29187
73062,34,1,1,38,44770,4,8,0,0,9823,7174,728,1,0,7313447.6,0,10,34,55337
84284,76,0,0,39,55723,5,1,0,0,4500,4877,480,0,6,8432554.8,0,28,70,74427
9619,66,1,0,91,82543,9,5,0,1,1069,3823,927,0,10,969806.1,0,35,56,3800
11410,96,0,1,96,85454,8,3,0,1,1466,3642,933,1,1,1150663.9,0,7,95,5369
29855,63,0,0,23,78080,5,5,0,1,3861,7495,204,0,6,2987645.0,0,26,57,18295
46716,94,0,0,58,25303,8,5,0,1,1361,6855,409,0,3,4674140.8,0,18,91,38091
77046,69,1,0,85,43517,4,2,0,1,8135,1401,648,0,3,7714235.2,0,34,66,66862
58855,1,0,0,66,20127,3,7,0,1,2267,3070,531,0,3,5892518.4,0,22,-2,52987
69165,66,1,0,74,51371,4,4,1,1,1543,9736,939,1,9,6926290.9,0,17,57,56947
57915,25,0,1,84,87517,10,4,1,1,3394,4287,640,0,5,5800324.7,1,19,20,49594
66279,47,1,0,9,21934,3,2,0,1,5079,3156,128,0,10,6631365.3,0,23,37,57916
16068,21,1,0,13,21716,8,8,1,1,8893,2564,463,0,2,1611707.1,0,35,19,4148
74325,50,1,1,58,91978,8,10,0,1,4008,1952,275,0,5,7443433.4,0,32,45,68090
35742,46,1,1,47,84138,7,1,1,1,1732,6019,243,0,7,3581003.4,1,12,39,27748
16899,19,0,1,14,47328,2,4,0,1,5710,907,302,1,7,1693690.0,0,6,12,9980
99854,82,0,0,64,82741,3,8,0,1,4827,2626,918,0,7,9989598.9,0,17,75,91483
33743,56,1,1,29,21945,10,8,0,1,7330,3012,345,0,6,3382812.6,0,20,50,23056
72798,22,1,1,30,61212,9,3,0,0,2209,2120,637,0,7,7290431.7,0,19,15,67832
86492,21,0,0,86,42450,3,7,1,0,7843,5348,463,0,0,8654049.2,0,34,21,72838
38937,35,0,1,77,2867,2,6,1,1,1312,1272,794,0,1,3901433.3,1,13,34,35559
24762,22,0,1,62,50367,10,10,1,1,5264,3986,502,1,1,2480900.9,1,27,21,15010
91047,45,0,0,65,41065,8,2,0,0,7241,1060,757,1,1,9109264.9,0,27,44,81989
55527,64,0,1,44,61931,4,2,0,1,9385,9507,786,1,9,5557814.5,0,21,55,35849
70606,17,1,1,79,38,7,3,1,0,4927,1285,197,0,5,7070662.7,1,9,12,64197
67327,47,0,0,87,26709,9,3,0,1,1097,8551,964,0,10,6741466.0,0,36,37,56715
71833,37,0,1,51,58147,2,5,0,0,3772,2045,580,1,6,7185318.3,0,13,31,65436
20811,98,1,1,71,91543,1,4,0,1,112,53,586,0,3,2090690.5,0,31,95,20060
16669,95,1,1,81,15949,4,3,0,1,6109,1409,239,1,1,1676719.7,0,19,94,8912
84006,73,1,1,97,54296,4,7,1,0,9698,6310,837,0,4,8409827.0,1,26,69,67161
34059,49,0,0,90,63489,4,8,0,1,4138,5337,347,0,2,3412619.3,0,33,47,24237
36131,95,0,0,88,72385,8,8,1,0,1046,8463,331,0,8,3620939.1,0,35,87,26291
38398,84,0,0,22,44513,6,8,1,0,1618,9458,404,0,8,3842545.4,0,32,76,26918
38833,10,0,0,14,28075,4,3,1,1,1828,7626,462,1,8,3884619.4,0,12,2,28917
41488,22,0,0,59,2019,9,1,0,1,2090,4438,650,0,3,4151539.3,0,13,19,34310
45066,28,0,0,62,85825,9,5,0,0,7092,6757,924,1,0,4508367.3,0,13,28,30293
63875,53,1,1,14,54408,7,3,1,0,4139,7178,152,0,6,6394774.9,1,27,47,52406
25052,88,0,0,94,1083,8,6,0,1,718,6346,703,0,10,2515214.0,0,6,78,17285
51457,64,0,1,32,68294,3,10,0,0,3016,1891,633,1,4,5150600.6,0,10,60,45917
84396,64,0,0,96,88421,6,7,1,1,7416,6190,593,1,2,8449333.5,0,11,62,70197
64920,98,0,1,63,1173,8,8,1,0,2287,8181,426,1,6,6501809.6,1,10,92,54026
85558,48,1,0,83,55318,2,9,0,1,7997,655,374,1,0,8568781.7,0,9,48,76532
87267,75,1,0,81,57714,6,10,0,0,6899,1628,666,1,4,8731940.9,0,7,71,78074
96091,100,0,1,24,99874,10,3,0,0,6546,4094,373,0,6,9615021.9,0,27,94,85078
38003,98,1,0,6,49191,8,10,0,0,9981,6500,129,0,2,3803545.8,0,18,96,21393
83120,97,0,1,68,93953,6,6,0,1,15,4581,481,0,1,8318749.5,0,11,96,78043
20468,100,1,0,34,63924,6,4,0,1,9659,6233,802,0,0,2049846.3,0,23,100,3774
75152,91,1,0,37,61836,3,3,1,0,4717,5685,412,0,2,7518709.8,0,8,89,64338
32688,9,1,1,18,86166,6,5,0,1,9089,6967,398,1,7,3274057.3,0,13,2,16234
45868,72,1,1,69,33082,5,7,1,1,7668,9908,216,0,10,4600708.4,1,32,62,28076
73900,69,0,1,36,57473,4,3,0,0,9847,6227,140,1,4,7394635.8,0,8,65,57686
16000,41,1,1,25,86898,9,4,0,1,7228,764,138,0,6,1606948.7,0,19,35,7870
29951,37,1,1,13,56604,6,8,1,1,5692,9582,762,0,0,3002371.5,1,31,37,13915
40231,84,0,1,41,64474,4,5,0,0,5700,303,758,1,0,4030226.9,0,27,84,33470
59517,38,1,0,69,93928,8,8,1,0,6831,2741,727,1,6,5958698.3,0,23,32,49218
98969,26,1,0,69,36941,10,8,0,0,3744,5809,992,1,5,9902968.3,0,23,21,88424
99177,49,0,0,41,5100,6,10,1,1,6326,6738,429,1,3,9919217.1,0,5,46,85684
89157,46,0,0,42,34482,3,6,0,1,3510,781,290,1,4,8920282.9,0,17,42,84576
67429,60,0,1,24,89820,8,7,1,0,3578,3600,858,1,1,6749654.1,1,35,59,59393
38431,57,1,0,60,69199,9,3,1,0,4121,3307,374,0,8,3848467.0,0,6,49,30629
72495,76,1,1,59,8723,8,10,1,0,3413,2245,254,1,0,7259025.4,1,32,76,66583
85362,77,1,0,19,40604,6,5,0,0,7728,8516,186,1,4,8541211.7,0,29,73,68932
28597,93,0,0,47,16237,3,9,0,0,4492,270,714,0,8,2863386.0,0,36,85,23121
13687,36,1,1,93,2400,3,5,1,1,4148,6383,590,0,5,1376329.1,1,25,31,2566
50479,3,0,1,73,39939,5,9,0,0,4149,6785,188,0,5,5057657.0,0,6,-2,39357
98121,38,0,1,57,20289,7,4,0,1,6028,8690,275,0,2,9817494.5,0,31,36,83128
57736,16,0,0,21,83855,9,6,0,1,6099,1511,588,0,2,5775940.9,0,27,14,49538
30356,40,0,0,85,13378,7,1,0,0,7660,774,551,0,8,3039209.2,0,34,32,21371
21141,38,0,1,80,65184,10,3,1,1,169,8853,697,1,10,2126023.8,1,28,28,11422
98122,34,0,0,7,80176,7,4,0,1,7125,7272,186,1,5,9813433.9,0,17,29,83539
34746,12,1,0,15,57668,10,5,0,0,2840,3137,377,0,4,3478332.0,0,26,8,28392
17297,43,1,1,19,99289,7,5,1,1,3216,5586,243,1,2,1738971.2,1,14,41,8252
80324,47,1,1,7,20394,3,2,1,1,325,3203,109,0,9,8039714.3,1,33,38,76687
15815,13,1,1,2,2179,7,1,1,0,637,7880,552,0,4,1585031.9,1,7,9,6746
79275,95,0,1,67,13000,5,9,0,1,3689,7215,132,1,3,7930383.5,0,31,92,68239
20658,7,1,1,48,80216,4,10,0,0,8080,9560,341,1,10,2076936.7,0,29,-3,2677
69638,42,1,1,63,89878,1,2,1,0,4703,7032,937,1,6,6977654.1,1,35,36,56966
94036,18,0,0,19,79418,10,9,1,1,5913,178,986,0,10,9406163.1,0,25,8,86959
60889,72,0,0,87,55928,6,8,1,0,7437,4833,131,0,7,6091341.8,0,8,65,48488
11458,96,1,1,31,95286,9,5,1,0,1365,3757,321,0,6,1154040.0,1,16,90,6015
20397,67,0,0,79,29406,8,7,0,0,705,4914,898,1,3,2042985.7,0,29,64,13880
83206,34,1,0,51,27565,9,9,1,0,9170,9694,327,0,9,8326302.9,0,27,25,64015
22854,41,1,0,89,74420,4,7,0,1,6216,521,481,1,0,2292467.1,0,25,41,15636
46042,52,0,0,74,45861,9,8,1,0,65,9506,946,0,5,4605791.5,0,11,47,35525
93506,20,1,0,28,7068,8,9,1,0,5297,1410,306,1,8,9356982.7,0,9,12,86493
58748,76,0,0,40,20761,2,5,0,1,1627,996,639,0,2,5875981.0,0,16,74,55486
55327,22,1,0,59,76622,1,2,1,1,7163,9333,504,1,8,5540589.3,0,33,14,38327
63631,84,1,0,12,31269,6,10,0,0,239,1952,411,1,4,6369055.0,0,26,80,61029
77915,99,0,0,21,63942,5,10,0,1,1081,9015,448,0,4,7793915.8,0,8,95,67371
91804,5,0,0,81,87339,3,9,0,1,8554,1275,930,1,8,9182083.9,0,27,-3,81045
57295,95,0,0,69,32081,2,2,1,1,9771,9634,951,1,7,5731510.4,0,32,88,36939
61057,65,1,0,77,17051,9,8,1,0,9762,545,369,1,6,6114671.8,0,28,59,50381
91626,83,1,0,55,59173,4,5,1,1,2684,784,101,1,8,9169068.1,0,35,75,88057
29356,96,1,1,46,4864,4,9,1,1,1780,393,413,1,3,2948071.0,1,36,93,26770
27134,62,1,0,2,1498,7,7,0,0,3718,9140,357,1,3,2715604.3,0,23,59,13919
98868,41,0,1,67,85917,7,3,1,1,2146,1077,623,1,3,9892300.1,1,5,38,95022
23898,62,1,0,93,73176,9,9,0,1,8256,4656,136,0,1,2399286.6,0,30,61,10850
83110,43,1,0,75,55046,7,10,1,0,4108,5663,380,1,7,8321631.1,0,25,36,72959
71154,67,0,1,53,8762,2,6,1,1,8418,7187,706,0,8,7122699.1,1,5,59,54843
90841,48,1,0,15,25300,6,5,0,0,3333,149,842,0,9,9086177.3,0,23,39,86517
68416,87,1,0,48,60979,8,7,0,0,1811,6776,424,0,6,6846709.0,0,16,81,59405
47585,95,0,0,5,81532,5,1,1,1,5101,89,639,0,0,4759724.3,0,33,95,41756
28452,79,1,0,40,79918,4,10,1,1,388,1889,566,1,2,2850377.6,0,20,77,25609
15630,78,1,0,4,98750,7,3,1,0,7084,4158,225,1,0,1565985.6,0,30,78,4163
65900,36,1,1,99,27819,1,5,0,1,2637,1038,452,0,1,6605894.7,0,9,35,61773
21600,94,1,0,56,85215,10,8,0,1,3129,6029,236,1,3,2166421.0,0,26,91,12206
74704,31,0,0,22,93675,1,9,1,0,7463,8866,347,0,9,7472587.2,0,34,22,58028
87291,78,1,1,42,5950,3,3,0,1,6214,3127,596,1,2,8739254.7,0,9,76,77354
96687,65,0,1,81,70871,4,4,0,1,2438,8183,695,1,6,9673884.2,0,14,59,85371
60567,65,1,1,100,39919,7,6,1,0,7010,7994,993,1,0,6071330.9,1,7,65,44570
65217,26,1,1,39,96357,6,8,0,1,1374,3300,804,0,10,6531999.9,0,7,16,59739
87346,56,1,1,82,34773,9,9,0,1,5792,549,947,1,4,8743241.0,0,36,52,80058
47701,26,1,0,46,73572,3,5,1,0,5447,3025,610,0,3,4773352.1,0,25,23,38619
14766,50,0,1,79,36865,8,1,0,0,8031,383,643,0,4,1488265.1,0,25,46,5709
94841,19,1,1,75,11526,3,5,1,1,3157,986,585,1,6,9498026.8,1,28,13,90113
59318,92,0,0,91,68354,9,8,0,0,9413,9619,425,1,5,5939275.2,0,24,87,39861
96526,36,1,1,34,61875,5,2,0,1,2131,710,680,1,0,9661068.0,0,6,36,93005
62876,36,0,0,9,90089,4,8,0,0,338,8342,740,1,4,6288117.6,0,20,32,53456
59558,43,1,1,89,79779,4,3,0,0,9174,4094,712,1,5,5967916.2,0,14,38,45578
97008,89,0,1,4,11466,9,5,1,1,8321,5231,369,1,0,9703551.4,1,12,89,83087
66746,6,1,0,10,22139,7,3,0,0,1567,9732,378,1,3,6678869.7,0,29,3,55069
25776,36,0,0,93,4777,5,9,0,0,688,5948,954,1,10,2582235.2,0,24,26,18186
96195,97,0,1,64,91809,7,4,1,1,3874,9414,892,0,3,9626665.8,1,8,94,82015
23045,21,1,0,75,72570,5,5,0,1,651,4309,607,0,0,2312202.0,0,36,21,17478
95441,70,0,1,65,3574,6,10,1,1,2841,3067,404,1,3,9554998.7,1,9,67,89129
28381,34,1,0,64,44973,6,2,1,0,6737,1660,502,1,2,2847241.9,0,17,32,19482
15731,34,1,1,37,93825,5,2,0,1,7361,4828,277,0,5,1582940.3,0,23,29,3265
18966,58,1,0,25,4414,10,4,1,1,2327,7431,823,0,0,1902151.9,0,7,58,8385
24393,46,1,1,16,18507,4,8,0,0,4080,4764,619,1,2,2449464.9,0,7,44,14930
53339,67,0,0,11,6144,4,1,1,0,368,8180,312,0,3,5335546.3,0,13,64,44479
44053,17,1,0,55,70068,9,3,1,0,6586,382,258,0,3,4413295.4,0,22,14,36827
70898,98,0,0,92,51635,6,1,0,0,4848,784,942,1,3,7091863.4,0,32,95,64324
84483,41,1,0,85,28464,10,3,1,0,6052,369,651,1,6,8452134.9,0,7,35,77411
35716,24,1,0,52,77207,4,2,1,1,8821,9581,991,0,10,3574932.3,0,13,14,16323
64693,64,0,0,81,90290,10,9,0,0,7506,6802,687,0,7,6471378.3,0,13,57,49698
32593,40,1,0,94,89328,2,9,0,0,2261,9719,871,1,2,3265750.6,0,20,38,19742
39484,74,0,1,30,6688,6,4,1,0,3172,2821,172,1,9,3954971.1,1,35,65,33319
32458,28,1,1,20,47125,1,3,0,0,8462,890,523,1,7,3253846.5,0,11,21,22583
72243,64,0,1,23,34837,2,1,1,1,4431,8585,752,1,3,7229477.4,1,22,61,58475
20624,44,1,0,83,50284,10,2,0,0,318,6191,606,0,4,2070369.6,0,30,40,13509
78382,41,0,0,14,58781,7,1,1,1,8751,7515,985,1,6,7840062.0,0,6,35,61131
70614,15,1,1,100,61317,10,5,1,1,4845,8727,991,0,2,7075926.0,1,16,13,56051
32235,59,1,0,10,76786,2,6,1,0,7388,828,488,0,10,3225143.6,0,10,49,23531
2523,12,1,1,67,75753,3,10,1,1,150,473,949,1,1,260710.5,1,11,11,951
87864,55,0,0,77,48421,8,4,1,1,7834,7083,745,0,9,8790481.9,0,7,46,72202
18316,97,0,0,3,68804,10,5,1,0,5804,2070,846,1,9,1832673.1,0,35,88,9596
94471,30,1,1,79,55210,6,1,0,1,1327,6342,285,0,3,9454072.1,0,15,27,86517
60704,96,1,1,29,18856,1,10,0,0,4505,9766,847,1,2,6080655.4,0,22,94,45586
54020,4,1,0,64,58230,1,3,0,0,8767,4062,882,1,4,5406334.3,0,13,0,40309
59612,37,1,0,56,69063,10,7,1,1,5616,5474,914,1,2,5967739.7,0,9,35,47608
56467,63,0,0,41,28576,3,2,1,0,2743,5018,815,0,0,5649094.0,0,36,63,47891
65625,55,0,1,36,89469,2,10,0,1,774,1091,958,1,10,6567597.5,0,11,45,62802
41570,76,0,1,98,21758,10,4,1,1,3573,3494,486,1,10,4167932.4,1,12,66,34017
44862,99,0,1,68,58122,7,5,0,0,9383,3076,631,0,3,4493882.2,0,34,96,31772
47212,37,1,1,81,4826,7,4,0,0,7210,5160,159,0,9,4734236.1,0,25,28,34683
40465,85,0,0,100,6023,4,9,0,0,6327,1053,403,1,0,4052600.4,0,22,85,32682
17191,80,1,1,29,49538,2,5,1,0,3192,2786,716,1,9,1728829.5,1,31,71,10497
56480,85,1,0,80,21192,8,3,0,0,8211,9476,532,0,1,5653048.6,0,10,84,38261
70503,78,0,0,29,72210,2,6,1,0,6819,4897,948,0,4,7051701.1,0,5,74,57839
58263,65,1,1,57,39046,9,10,0,1,7942,6968,786,1,3,5840294.6,0,20,62,42567
47647,52,0,1,6,24285,10,2,1,1,3220,9457,171,1,10,4768169.2,1,24,42,34799
57916,51,0,0,24,8801,8,1,0,1,3831,5615,356,1,1,5792783.8,0,28,50,48114
