GRE_Score,TOEFL_Score,SOP,LOR,CGPA,Admit_Chance,University_Rating_2,University_Rating_3,University_Rating_4,University_Rating_5,Research_1
310,102,3,4,8,0,0,1,0,0,1
305,106,3,3,8,0,1,0,0,0,0
301,104,3,4,8,0,0,1,0,0,1
325,108,4,4,9,0,0,0,1,0,1
328,110,5,4,9,1,0,0,1,0,1
338,120,5,5,9,1,0,0,1,0,1
333,119,5,4,9,1,0,0,0,1,1
331,117,4,5,9,1,0,0,1,0,1
330,116,5,4,9,1,0,0,0,1,1
322,112,4,4,9,1,0,0,1,0,1
321,109,4,4,9,1,0,0,1,0,1
324,110,3,3,8,1,0,0,1,0,1
312,104,3,3,8,0,0,1,0,0,0
313,103,4,4,8,0,0,1,0,0,0
316,110,3,4,8,0,0,1,0,0,0
324,113,4,4,8,0,0,0,1,0,0
308,109,3,4,8,0,1,0,0,0,0
305,105,3,2,8,0,1,0,0,0,0
296,99,2,2,8,0,1,0,0,0,0
306,110,3,4,8,0,1,0,0,0,0
312,110,3,3,8,0,1,0,0,0,0
318,112,4,3,8,0,0,1,0,0,0
324,111,3,3,9,1,0,0,1,0,1
313,104,4,4,8,0,0,1,0,0,0
319,106,3,2,8,0,0,1,0,0,1
312,107,2,3,8,0,1,0,0,0,0
304,100,2,3,8,0,1,0,0,0,0
330,113,5,4,9,1,0,0,0,1,1
326,111,4,4,9,1,0,0,0,1,1
325,112,4,4,9,1,0,0,1,0,1
329,114,4,5,9,1,0,0,0,1,1
310,104,2,3,8,0,0,1,0,0,0
299,100,1,2,7,0,0,0,0,0,0
296,101,2,3,7,0,0,0,0,0,0
317,103,2,2,8,0,1,0,0,0,0
324,115,3,3,8,0,0,1,0,0,1
325,114,3,3,9,0,0,1,0,0,1
314,107,2,4,8,0,1,0,0,0,0
328,110,4,2,9,1,0,0,1,0,1
316,105,3,3,8,0,0,1,0,0,0
311,104,2,3,8,0,1,0,0,0,0
324,110,3,4,8,1,0,1,0,0,1
321,111,3,4,8,0,0,1,0,0,1
320,104,3,2,8,0,0,1,0,0,1
316,99,2,3,9,0,1,0,0,0,0
318,100,2,3,8,0,1,0,0,0,1
335,115,4,4,9,1,0,0,1,0,1
321,114,4,5,9,1,0,0,1,0,0
307,110,4,4,8,0,0,0,1,0,0
309,99,4,4,8,0,0,1,0,0,0
324,100,4,5,8,0,0,1,0,0,1
326,102,5,5,8,0,0,0,1,0,1
331,119,5,4,9,1,0,0,1,0,1
327,108,5,3,9,1,0,0,0,1,1
312,104,3,4,8,0,0,1,0,0,0
308,103,2,4,8,0,1,0,0,0,1
324,111,2,1,8,0,0,1,0,0,1
325,110,3,2,8,0,1,0,0,0,1
313,102,2,2,8,0,0,1,0,0,0
312,105,2,2,8,0,1,0,0,0,0
314,107,3,3,8,0,0,1,0,0,1
327,113,4,5,9,1,0,0,1,0,0
308,108,4,5,8,0,0,0,1,0,0
306,105,2,3,8,0,1,0,0,0,1
299,96,1,2,7,0,1,0,0,0,0
294,95,1,1,7,0,0,0,0,0,0
312,99,1,1,8,0,0,0,0,0,1
315,100,2,2,7,0,0,0,0,0,0
322,110,3,3,8,0,0,1,0,0,1
329,113,5,4,9,1,0,0,0,1,1
320,101,2,3,8,0,1,0,0,0,0
308,103,3,3,8,0,1,0,0,0,0
304,102,3,4,8,0,1,0,0,0,0
311,102,4,4,8,0,0,1,0,0,1
317,110,4,4,9,1,0,1,0,0,1
312,106,4,3,8,1,0,1,0,0,1
321,111,2,3,8,1,0,1,0,0,1
340,112,5,4,9,1,0,0,1,0,1
331,116,4,4,9,1,0,0,0,1,1
336,118,4,4,9,1,0,0,0,1,1
324,114,5,4,9,1,0,0,0,1,1
314,104,5,5,9,1,0,0,1,0,0
313,109,4,3,9,0,0,1,0,0,0
307,105,2,3,7,0,1,0,0,0,0
300,102,1,2,7,0,1,0,0,0,0
302,99,1,2,7,0,1,0,0,0,0
312,98,3,3,8,0,0,0,0,0,1
316,101,2,2,8,0,1,0,0,0,1
317,100,3,2,8,0,1,0,0,0,0
310,107,3,3,8,0,0,1,0,0,0
320,120,4,4,9,1,0,1,0,0,0
330,114,4,4,9,1,0,1,0,0,1
305,112,3,3,8,0,0,1,0,0,0
309,106,2,2,8,0,1,0,0,0,0
319,108,2,3,8,0,1,0,0,0,0
322,105,3,3,8,0,1,0,0,0,1
323,107,3,3,8,0,0,1,0,0,1
313,106,2,2,8,0,1,0,0,0,0
321,109,3,3,8,0,0,1,0,0,1
323,110,4,3,9,0,0,1,0,0,1
325,112,4,4,9,1,0,0,1,0,1
312,108,3,3,8,0,0,1,0,0,0
308,110,3,3,8,0,0,0,1,0,0
320,104,3,3,8,0,0,1,0,0,1
328,108,4,4,9,1,0,0,1,0,1
311,107,4,4,9,0,0,0,1,0,1
301,100,3,3,8,0,0,1,0,0,0
305,105,3,4,8,0,1,0,0,0,0
308,104,2,3,8,0,1,0,0,0,0
298,101,1,2,7,0,1,0,0,0,0
300,99,1,2,8,0,0,0,0,0,0
324,111,2,2,8,0,0,1,0,0,1
327,113,3,3,8,1,0,0,1,0,1
317,106,4,3,8,0,0,1,0,0,1
323,104,4,4,8,0,0,1,0,0,1
314,107,2,4,8,0,1,0,0,0,0
305,102,2,2,8,0,1,0,0,0,0
315,104,3,2,8,0,0,1,0,0,0
326,116,3,4,9,1,0,1,0,0,1
299,100,2,2,8,0,0,1,0,0,0
295,101,2,2,7,0,1,0,0,0,0
324,112,4,3,8,1,0,0,1,0,1
297,96,2,1,7,0,1,0,0,0,0
327,113,3,3,8,1,0,1,0,0,1
311,105,3,2,8,0,1,0,0,0,1
308,106,3,2,8,0,0,1,0,0,1
319,108,3,3,8,0,0,1,0,0,1
312,107,4,4,8,0,0,0,1,0,1
325,111,4,4,9,1,0,0,1,0,1
319,110,3,2,8,0,0,1,0,0,0
332,118,5,5,9,1,0,0,0,1,1
323,108,4,4,8,1,0,0,0,1,1
324,107,3,4,8,1,0,0,0,1,1
312,107,3,3,8,0,0,1,0,0,1
326,110,3,3,8,0,0,1,0,0,1
308,106,3,3,8,0,0,1,0,0,0
305,103,2,3,8,0,1,0,0,0,0
295,96,1,2,7,0,1,0,0,0,0
316,98,1,2,7,0,0,0,0,0,0
304,97,1,2,7,0,1,0,0,0,0
299,94,1,1,7,0,0,0,0,0,0
302,99,2,2,7,0,0,0,0,0,0
313,101,2,3,8,0,0,1,0,0,0
318,107,3,3,8,0,0,1,0,0,1
325,110,3,4,8,0,0,0,1,0,1
303,100,3,3,8,0,1,0,0,0,1
300,102,3,2,8,0,0,1,0,0,0
297,98,2,3,7,0,1,0,0,0,0
317,106,2,3,8,0,1,0,0,0,0
327,109,3,4,8,0,0,1,0,0,1
301,104,3,3,7,0,1,0,0,0,1
314,105,2,2,7,0,1,0,0,0,0
321,107,2,1,8,1,1,0,0,0,0
322,110,4,5,8,1,0,1,0,0,1
334,116,4,3,9,1,0,0,1,0,1
338,115,4,5,9,1,0,0,0,1,1
306,103,2,3,8,0,1,0,0,0,0
313,102,3,4,8,0,0,1,0,0,1
330,114,4,3,9,1,0,0,1,0,1
320,104,3,4,8,0,0,1,0,0,1
311,98,1,2,7,0,0,0,0,0,0
298,92,2,2,7,0,0,0,0,0,0
301,98,2,3,8,0,0,0,0,0,1
310,103,2,2,8,0,1,0,0,0,0
324,110,3,3,9,1,0,1,0,0,1
336,119,4,4,9,1,0,0,1,0,1
321,109,3,3,8,0,0,1,0,0,1
315,105,2,2,7,0,1,0,0,0,0
304,101,2,2,7,0,1,0,0,0,0
297,96,2,2,7,0,1,0,0,0,0
290,100,1,2,7,0,0,0,0,0,0
303,98,2,2,7,0,0,0,0,0,0
311,99,2,3,8,0,0,0,0,0,1
322,104,3,4,8,0,0,1,0,0,1
319,105,3,3,8,0,0,1,0,0,1
324,110,4,4,9,1,0,0,1,0,1
300,100,3,3,8,0,0,1,0,0,0
340,113,5,5,9,1,0,0,1,0,1
335,117,5,5,9,1,0,0,0,1,1
302,101,2,3,7,0,1,0,0,0,0
307,105,2,3,8,0,1,0,0,0,0
296,97,1,2,7,0,1,0,0,0,0
320,108,3,4,8,0,0,1,0,0,1
314,102,2,2,8,0,1,0,0,0,0
318,106,2,3,8,0,0,1,0,0,0
326,112,4,3,9,1,0,0,1,0,1
317,104,3,3,8,0,1,0,0,0,0
329,111,4,4,9,1,0,0,1,0,1
324,110,3,3,9,1,0,1,0,0,1
325,107,3,3,9,1,0,1,0,0,1
330,116,5,4,9,1,0,0,1,0,1
312,103,3,4,8,0,0,1,0,0,0
333,117,5,4,9,1,0,0,1,0,1
304,100,3,3,8,0,1,0,0,0,0
315,105,3,3,8,0,1,0,0,0,0
324,109,3,3,8,0,0,1,0,0,1
330,116,4,3,9,1,0,0,1,0,1
311,101,2,2,7,0,0,1,0,0,1
302,99,2,3,7,0,0,1,0,0,0
322,103,3,2,8,0,0,0,1,0,1
298,100,2,4,7,0,0,1,0,0,1
297,101,2,4,7,0,0,1,0,0,1
300,98,2,2,8,0,0,0,0,0,0
301,96,3,4,7,0,0,0,0,0,0
313,94,2,1,8,0,1,0,0,0,0
314,102,2,2,7,0,0,0,1,0,1
317,101,3,2,7,0,0,1,0,0,1
321,110,3,4,8,0,0,0,1,0,1
327,106,4,4,8,0,0,0,1,0,1
315,104,4,2,8,0,0,1,0,0,0
316,103,3,2,7,0,0,1,0,0,0
309,111,2,4,8,0,1,0,0,0,0
308,102,2,3,7,0,1,0,0,0,1
299,100,2,3,7,0,0,1,0,0,0
321,112,3,4,8,0,0,1,0,0,1
322,112,3,2,9,0,0,0,1,0,1
334,119,4,5,9,1,0,0,0,1,1
325,114,4,5,9,1,0,0,0,1,1
323,111,4,5,9,1,0,0,0,1,1
312,106,3,5,8,0,0,1,0,0,0
310,101,3,5,8,0,0,1,0,0,1
316,103,2,4,8,0,1,0,0,0,0
340,115,5,4,9,1,0,0,0,1,1
311,104,4,3,8,0,0,1,0,0,1
320,112,3,3,8,0,1,0,0,0,1
324,112,4,4,9,1,0,0,1,0,1
316,111,4,5,8,0,0,0,1,0,0
306,103,3,3,8,0,0,1,0,0,0
309,105,2,4,7,0,1,0,0,0,0
310,110,1,4,7,0,0,0,0,0,1
317,106,1,3,7,0,0,0,0,0,1
318,110,2,3,8,0,0,0,0,0,1
312,105,1,3,8,0,1,0,0,0,0
305,104,2,1,7,0,1,0,0,0,0
332,112,1,3,8,0,0,0,0,0,1
331,116,4,4,9,1,0,0,1,0,1
321,114,4,4,9,1,0,0,0,1,1
324,113,4,5,9,1,0,0,0,1,1
328,116,4,5,9,1,0,0,0,1,1
327,118,5,5,9,1,0,0,1,0,1
320,108,3,5,8,1,0,1,0,0,1
312,109,2,4,9,1,1,0,0,0,0
315,101,3,4,9,0,0,1,0,0,0
320,112,3,4,8,1,0,0,1,0,1
324,113,4,4,9,1,0,0,1,0,1
328,116,5,3,9,1,0,0,1,0,1
319,103,2,4,8,0,0,1,0,0,1
310,105,3,3,8,0,1,0,0,0,0
305,102,1,2,7,0,1,0,0,0,0
299,100,2,2,7,0,1,0,0,0,0
295,99,2,1,7,0,0,0,0,0,0
312,100,3,3,8,0,0,0,0,0,1
329,113,4,3,9,1,0,0,1,0,1
319,105,4,4,8,0,0,0,1,0,1
301,102,2,2,8,0,0,1,0,0,1
307,105,3,3,7,0,0,0,1,0,0
304,107,3,3,7,0,0,1,0,0,0
298,97,2,3,7,0,1,0,0,0,0
305,96,3,4,8,0,0,0,1,0,0
314,99,3,4,8,0,0,0,1,0,1
318,101,3,5,8,0,0,0,0,1,1
323,110,4,5,8,1,0,0,1,0,1
326,114,4,3,9,1,0,0,1,0,1
320,110,4,4,9,1,0,0,0,1,1
311,103,2,4,8,0,0,1,0,0,0
327,116,4,4,9,1,0,0,1,0,1
316,102,4,3,8,0,1,0,0,0,0
308,105,3,2,7,0,0,0,1,0,1
300,101,3,2,7,0,0,1,0,0,0
304,104,2,2,8,0,0,1,0,0,0
309,105,3,2,8,0,0,0,1,0,0
318,103,4,4,8,0,0,1,0,0,1
325,110,4,4,8,0,0,0,1,0,1
321,102,3,4,9,1,0,1,0,0,1
323,107,3,2,8,0,0,0,1,0,1
328,113,4,2,8,1,0,0,1,0,1
304,103,5,3,7,0,0,0,0,1,0
317,106,3,3,7,0,0,1,0,0,1
311,101,2,3,8,0,1,0,0,0,1
319,102,2,2,8,0,0,1,0,0,0
327,115,3,4,9,0,0,0,1,0,0
322,112,3,4,8,0,0,1,0,0,1
302,110,4,4,8,0,0,1,0,0,0
307,105,2,4,8,0,1,0,0,0,1
297,99,3,3,7,0,0,0,1,0,0
298,101,2,4,7,0,0,0,1,0,1
300,95,3,1,8,0,1,0,0,0,1
301,99,2,2,8,0,0,1,0,0,1
332,108,4,4,9,1,0,0,0,1,1
337,117,5,5,9,1,0,0,0,1,1
330,120,4,5,9,1,0,0,0,1,1
312,103,4,5,8,0,0,0,1,0,0
327,113,4,4,9,1,0,0,1,0,0
